"Name","Date","All cause","Covid-19 Deaths"
"Surrey",2020-04-11,7,0
"Sutton",2020-04-11,0,0
"Swindon",2020-04-11,1,1
"Tameside",2020-04-11,2,1
"Telford and Wrekin",2020-04-11,3,1
"Thurrock",2020-04-11,0,0
"Torbay",2020-04-11,0,0
"Tower Hamlets",2020-04-11,3,2
"Trafford",2020-04-11,2,1
"Wakefield",2020-04-11,1,0
"Walsall",2020-04-11,1,1
"Waltham Forest",2020-04-11,0,0
"Wandsworth",2020-04-11,0,0
"Warrington",2020-04-11,3,0
"Warwickshire",2020-04-11,2,0
"West Berkshire",2020-04-11,0,0
"West Sussex",2020-04-11,0,0
"Westminster",2020-04-11,0,0
"Wigan",2020-04-11,0,0
"Wiltshire",2020-04-11,0,0
"Windsor and Maidenhead",2020-04-11,0,0
"Wirral",2020-04-11,1,1
"Wokingham",2020-04-11,3,2
"Wolverhampton",2020-04-11,0,0
"Worcestershire",2020-04-11,0,0
"York",2020-04-11,0,0
"Notes:",2020-04-11,,
"1. Data provided by Care Quality Commission",2020-04-11,,
"2. Figures are for deaths CQC are notified of on the days specified. Figures only include deaths that were notified by 01 May 2020, and may be an underestimate due to notification delays.",2020-04-11,,
"3. Figures are for persons who were resident in and died in a care home",2020-04-11,,
"England",2020-04-12,152,61
"Barking and Dagenham",2020-04-12,0,0
"Barnet",2020-04-12,0,0
"Barnsley",2020-04-12,2,2
"Bath and North East Somerset",2020-04-12,0,0
"Bedford",2020-04-12,2,0
"Bexley",2020-04-12,0,0
"Birmingham",2020-04-12,3,1
"Blackburn with Darwen",2020-04-12,0,0
"Blackpool",2020-04-12,2,0
"Bolton",2020-04-12,1,1
"Bournemouth, Christchurch and Poole",2020-04-12,3,1
"Bracknell Forest",2020-04-12,0,0
"Bradford",2020-04-12,0,0
"Brent",2020-04-12,1,1
"Brighton and Hove",2020-04-12,1,0
"Bristol, City of",2020-04-12,2,1
"Bromley",2020-04-12,1,0
"Buckinghamshire",2020-04-12,2,0
"Bury",2020-04-12,0,0
"Calderdale",2020-04-12,1,1
"Cambridgeshire",2020-04-12,1,1
"Camden",2020-04-12,0,0
"Central Bedfordshire",2020-04-12,0,0
"Cheshire East",2020-04-12,4,2
"Cheshire West and Chester",2020-04-12,1,0
"Cornwall",2020-04-12,1,0
"County Durham",2020-04-12,1,0
"Coventry",2020-04-12,2,0
"Croydon",2020-04-12,0,0
"Cumbria",2020-04-12,1,1
"Darlington",2020-04-12,0,0
"Derby",2020-04-12,5,1
"Derbyshire",2020-04-12,0,0
"Devon",2020-04-12,1,0
"Doncaster",2020-04-12,0,0
"Dorset",2020-04-12,1,0
"Dudley",2020-04-12,0,0
"Ealing",2020-04-12,2,1
"East Riding of Yorkshire",2020-04-12,2,0
"East Sussex",2020-04-12,1,1
"Enfield",2020-04-12,1,1
"Essex",2020-04-12,7,2
"Gateshead",2020-04-12,2,1
"Gloucestershire",2020-04-12,1,0
"Greenwich",2020-04-12,3,0
"Hackney",2020-04-12,0,0
"Halton",2020-04-12,0,0
"Hammersmith and Fulham",2020-04-12,0,0
"Hampshire",2020-04-12,5,1
"Haringey",2020-04-12,0,0
"Harrow",2020-04-12,4,3
"Hartlepool",2020-04-12,0,0
"Havering",2020-04-12,0,0
"Herefordshire, County of",2020-04-12,1,0
"Hertfordshire",2020-04-12,2,0
"Hillingdon",2020-04-12,1,0
"Hounslow",2020-04-12,0,0
"Isle of Wight",2020-04-12,0,0
"Islington",2020-04-12,0,0
"Kensington and Chelsea",2020-04-12,0,0
"Kent",2020-04-12,1,1
"Kingston upon Hull, City of",2020-04-12,0,0
"Kingston upon Thames",2020-04-12,2,0
"Kirklees",2020-04-12,0,0
"Knowsley",2020-04-12,0,0
"Lambeth",2020-04-12,0,0
"Lancashire",2020-04-12,2,0
"Leeds",2020-04-12,0,0
"Leicester",2020-04-12,1,1
"Leicestershire",2020-04-12,1,0
"Lewisham",2020-04-12,0,0
"Lincolnshire",2020-04-12,1,0
"Liverpool",2020-04-12,0,0
"Luton",2020-04-12,0,0
"Manchester",2020-04-12,0,0
"Medway",2020-04-12,0,0
"Merton",2020-04-12,3,1
"Middlesbrough",2020-04-12,0,0
"Milton Keynes",2020-04-12,0,0
"Newcastle upon Tyne",2020-04-12,2,2
"Newham",2020-04-12,0,0
"Norfolk",2020-04-12,0,0
"North East Lincolnshire",2020-04-12,0,0
"North Lincolnshire",2020-04-12,0,0
"North Somerset",2020-04-12,0,0
"North Tyneside",2020-04-12,1,0
"North Yorkshire",2020-04-12,4,2
"Northamptonshire",2020-04-12,0,0
"Northumberland",2020-04-12,3,0
"Nottingham",2020-04-12,2,0
"Nottinghamshire",2020-04-12,7,5
"Oldham",2020-04-12,2,2
"Oxfordshire",2020-04-12,1,0
"Peterborough",2020-04-12,1,1
"Plymouth",2020-04-12,0,0
"Portsmouth",2020-04-12,0,0
"Reading",2020-04-12,0,0
"Redbridge",2020-04-12,0,0
"Redcar and Cleveland",2020-04-12,0,0
"Richmond upon Thames",2020-04-12,0,0
"Rochdale",2020-04-12,0,0
"Rotherham",2020-04-12,1,1
"Rutland",2020-04-12,0,0
"Salford",2020-04-12,0,0
"Sandwell",2020-04-12,2,1
"Sefton",2020-04-12,1,0
"Sheffield",2020-04-12,2,2
"Shropshire",2020-04-12,0,0
"Slough",2020-04-12,0,0
"Solihull",2020-04-12,0,0
"Somerset",2020-04-12,1,0
"South Gloucestershire",2020-04-12,0,0
"South Tyneside",2020-04-12,0,0
"Southampton",2020-04-12,0,0
"Southend-on-Sea",2020-04-12,0,0
"Southwark",2020-04-12,0,0
"St. Helens",2020-04-12,1,0
"Staffordshire",2020-04-12,3,0
"Stockport",2020-04-12,0,0
"Stockton-on-Tees",2020-04-12,1,0
"Stoke-on-Trent",2020-04-12,0,0
"Suffolk",2020-04-12,3,1
"Sunderland",2020-04-12,1,0
"Surrey",2020-04-12,7,4
"Sutton",2020-04-12,0,0
"Swindon",2020-04-12,0,0
"Tameside",2020-04-12,0,0
"Telford and Wrekin",2020-04-12,0,0
"Thurrock",2020-04-12,0,0
"Torbay",2020-04-12,0,0
"Tower Hamlets",2020-04-12,8,8
"Trafford",2020-04-12,1,0
"Wakefield",2020-04-12,1,1
"Walsall",2020-04-12,0,0
"Waltham Forest",2020-04-12,0,0
"Wandsworth",2020-04-12,0,0
"Warrington",2020-04-12,1,1
"Warwickshire",2020-04-12,0,0
"West Berkshire",2020-04-12,0,0
"West Sussex",2020-04-12,3,1
"Westminster",2020-04-12,3,1
"Wigan",2020-04-12,0,0
"Wiltshire",2020-04-12,1,1
"Windsor and Maidenhead",2020-04-12,0,0
"Wirral",2020-04-12,0,0
"Wokingham",2020-04-12,0,0
"Wolverhampton",2020-04-12,0,0
"Worcestershire",2020-04-12,4,1
"York",2020-04-12,2,0
"Notes:",2020-04-12,,
"1. Data provided by Care Quality Commission",2020-04-12,,
"2. Figures are for deaths CQC are notified of on the days specified. Figures only include deaths that were notified by 01 May 2020, and may be an underestimate due to notification delays.",2020-04-12,,
"3. Figures are for persons who were resident in and died in a care home",2020-04-12,,
"England",2020-04-13,590,217
"Barking and Dagenham",2020-04-13,3,2
"Barnet",2020-04-13,5,3
"Barnsley",2020-04-13,8,0
"Bath and North East Somerset",2020-04-13,0,0
"Bedford",2020-04-13,0,0
"Bexley",2020-04-13,1,0
"Birmingham",2020-04-13,10,3
"Blackburn with Darwen",2020-04-13,1,0
"Blackpool",2020-04-13,1,0
"Bolton",2020-04-13,4,3
"Bournemouth, Christchurch and Poole",2020-04-13,4,0
"Bracknell Forest",2020-04-13,0,0
"Bradford",2020-04-13,2,1
"Brent",2020-04-13,5,0
"Brighton and Hove",2020-04-13,3,2
"Bristol, City of",2020-04-13,10,8
"Bromley",2020-04-13,2,2
"Buckinghamshire",2020-04-13,2,1
"Bury",2020-04-13,2,0
"Calderdale",2020-04-13,3,1
"Cambridgeshire",2020-04-13,6,0
"Camden",2020-04-13,0,0
"Central Bedfordshire",2020-04-13,2,1
"Cheshire East",2020-04-13,8,7
"Cheshire West and Chester",2020-04-13,3,1
"Cornwall",2020-04-13,6,0
"County Durham",2020-04-13,8,3
"Coventry",2020-04-13,7,6
"Croydon",2020-04-13,8,0
"Cumbria",2020-04-13,9,2
"Darlington",2020-04-13,1,1
"Derby",2020-04-13,4,1
"Derbyshire",2020-04-13,4,2
"Devon",2020-04-13,9,3
"Doncaster",2020-04-13,2,0
"Dorset",2020-04-13,2,0
"Dudley",2020-04-13,4,0
"Ealing",2020-04-13,5,3
"East Riding of Yorkshire",2020-04-13,4,1
"East Sussex",2020-04-13,10,3
"Enfield",2020-04-13,4,0
"Essex",2020-04-13,8,2
"Gateshead",2020-04-13,4,2
"Gloucestershire",2020-04-13,16,8
"Greenwich",2020-04-13,2,0
"Hackney",2020-04-13,0,0
"Halton",2020-04-13,1,1
"Hammersmith and Fulham",2020-04-13,2,2
"Hampshire",2020-04-13,22,11
"Haringey",2020-04-13,0,0
"Harrow",2020-04-13,1,1
"Hartlepool",2020-04-13,1,0
"Havering",2020-04-13,3,0
"Herefordshire, County of",2020-04-13,0,0
"Hertfordshire",2020-04-13,8,1
"Hillingdon",2020-04-13,0,0
"Hounslow",2020-04-13,1,0
"Isle of Wight",2020-04-13,0,0
"Islington",2020-04-13,2,2
"Kensington and Chelsea",2020-04-13,0,0
"Kent",2020-04-13,9,2
"Kingston upon Hull, City of",2020-04-13,0,0
"Kingston upon Thames",2020-04-13,1,0
"Kirklees",2020-04-13,8,0
"Knowsley",2020-04-13,1,1
"Lambeth",2020-04-13,0,0
"Lancashire",2020-04-13,17,2
"Leeds",2020-04-13,5,0
"Leicester",2020-04-13,2,1
"Leicestershire",2020-04-13,7,3
"Lewisham",2020-04-13,1,1
"Lincolnshire",2020-04-13,6,1
"Liverpool",2020-04-13,12,8
"Luton",2020-04-13,2,1
"Manchester",2020-04-13,14,7
"Medway",2020-04-13,3,0
"Merton",2020-04-13,2,1
"Middlesbrough",2020-04-13,10,6
"Milton Keynes",2020-04-13,4,0
"Newcastle upon Tyne",2020-04-13,4,2
"Newham",2020-04-13,0,0
"Norfolk",2020-04-13,3,0
"North East Lincolnshire",2020-04-13,0,0
"North Lincolnshire",2020-04-13,1,0
"North Somerset",2020-04-13,4,1
"North Tyneside",2020-04-13,0,0
"North Yorkshire",2020-04-13,10,5
"Northamptonshire",2020-04-13,3,0
"Northumberland",2020-04-13,3,2
"Nottingham",2020-04-13,4,3
"Nottinghamshire",2020-04-13,13,4
"Oldham",2020-04-13,3,2
"Oxfordshire",2020-04-13,8,2
"Peterborough",2020-04-13,0,0
"Plymouth",2020-04-13,7,0
"Portsmouth",2020-04-13,0,0
"Reading",2020-04-13,4,3
"Redbridge",2020-04-13,2,0
"Redcar and Cleveland",2020-04-13,1,0
"Richmond upon Thames",2020-04-13,4,4
"Rochdale",2020-04-13,0,0
"Rotherham",2020-04-13,3,1
"Rutland",2020-04-13,0,0
"Salford",2020-04-13,1,1
"Sandwell",2020-04-13,4,1
"Sefton",2020-04-13,7,1
"Sheffield",2020-04-13,11,4
"Shropshire",2020-04-13,0,0
"Slough",2020-04-13,0,0
"Solihull",2020-04-13,2,2
"Somerset",2020-04-13,7,1
"South Gloucestershire",2020-04-13,3,0
"South Tyneside",2020-04-13,4,1
"Southampton",2020-04-13,0,0
"Southend-on-Sea",2020-04-13,2,0
"Southwark",2020-04-13,3,1
"St. Helens",2020-04-13,0,0
"Staffordshire",2020-04-13,9,3
"Stockport",2020-04-13,3,3
"Stockton-on-Tees",2020-04-13,2,1
"Stoke-on-Trent",2020-04-13,5,1
"Suffolk",2020-04-13,4,1
"Sunderland",2020-04-13,4,1
"Surrey",2020-04-13,25,13
"Sutton",2020-04-13,3,0
"Swindon",2020-04-13,0,0
"Tameside",2020-04-13,2,1
"Telford and Wrekin",2020-04-13,6,3
"Thurrock",2020-04-13,0,0
"Torbay",2020-04-13,1,0
"Tower Hamlets",2020-04-13,5,5
"Trafford",2020-04-13,0,0
"Wakefield",2020-04-13,3,0
"Walsall",2020-04-13,2,2
"Waltham Forest",2020-04-13,0,0
"Wandsworth",2020-04-13,0,0
"Warrington",2020-04-13,3,2
"Warwickshire",2020-04-13,10,6
"West Berkshire",2020-04-13,0,0
"West Sussex",2020-04-13,9,2
"Westminster",2020-04-13,0,0
"Wigan",2020-04-13,4,2
"Wiltshire",2020-04-13,1,0
"Windsor and Maidenhead",2020-04-13,3,1
"Wirral",2020-04-13,6,2
"Wokingham",2020-04-13,2,0
"Wolverhampton",2020-04-13,2,0
"Worcestershire",2020-04-13,6,3
"York",2020-04-13,2,0
"Notes:",2020-04-13,,
"1. Data provided by Care Quality Commission",2020-04-13,,
"2. Figures are for deaths CQC are notified of on the days specified. Figures only include deaths that were notified by 01 May 2020, and may be an underestimate due to notification delays.",2020-04-13,,
"3. Figures are for persons who were resident in and died in a care home",2020-04-13,,
"England",2020-04-14,1279,412
"Barking and Dagenham",2020-04-14,3,2
"Barnet",2020-04-14,6,3
"Barnsley",2020-04-14,1,1
"Bath and North East Somerset",2020-04-14,13,7
"Bedford",2020-04-14,5,0
"Bexley",2020-04-14,12,2
"Birmingham",2020-04-14,22,12
"Blackburn with Darwen",2020-04-14,1,0
"Blackpool",2020-04-14,3,1
"Bolton",2020-04-14,2,1
"Bournemouth, Christchurch and Poole",2020-04-14,7,0
"Bracknell Forest",2020-04-14,2,1
"Bradford",2020-04-14,6,0
"Brent",2020-04-14,3,2
"Brighton and Hove",2020-04-14,12,7
"Bristol, City of",2020-04-14,13,11
"Bromley",2020-04-14,12,3
"Buckinghamshire",2020-04-14,17,9
"Bury",2020-04-14,7,2
"Calderdale",2020-04-14,0,0
"Cambridgeshire",2020-04-14,10,0
"Camden",2020-04-14,2,0
"Central Bedfordshire",2020-04-14,11,3
"Cheshire East",2020-04-14,21,7
"Cheshire West and Chester",2020-04-14,12,2
"Cornwall",2020-04-14,12,3
"County Durham",2020-04-14,18,9
"Coventry",2020-04-14,5,4
"Croydon",2020-04-14,3,2
"Cumbria",2020-04-14,8,2
"Darlington",2020-04-14,8,1
"Derby",2020-04-14,8,4
"Derbyshire",2020-04-14,16,8
"Devon",2020-04-14,8,1
"Doncaster",2020-04-14,10,1
"Dorset",2020-04-14,8,1
"Dudley",2020-04-14,1,1
"Ealing",2020-04-14,3,0
"East Riding of Yorkshire",2020-04-14,3,1
"East Sussex",2020-04-14,18,4
"Enfield",2020-04-14,19,6
"Essex",2020-04-14,28,3
"Gateshead",2020-04-14,7,3
"Gloucestershire",2020-04-14,20,11
"Greenwich",2020-04-14,4,2
"Hackney",2020-04-14,1,0
"Halton",2020-04-14,6,1
"Hammersmith and Fulham",2020-04-14,4,3
"Hampshire",2020-04-14,32,9
"Haringey",2020-04-14,1,1
"Harrow",2020-04-14,6,1
"Hartlepool",2020-04-14,2,1
"Havering",2020-04-14,5,3
"Herefordshire, County of",2020-04-14,2,0
"Hertfordshire",2020-04-14,36,7
"Hillingdon",2020-04-14,20,1
"Hounslow",2020-04-14,5,0
"Isle of Wight",2020-04-14,2,0
"Islington",2020-04-14,1,1
"Kensington and Chelsea",2020-04-14,3,3
"Kent",2020-04-14,29,7
"Kingston upon Hull, City of",2020-04-14,3,2
"Kingston upon Thames",2020-04-14,10,7
"Kirklees",2020-04-14,6,0
"Knowsley",2020-04-14,2,1
"Lambeth",2020-04-14,4,1
"Lancashire",2020-04-14,19,5
"Leeds",2020-04-14,17,5
"Leicester",2020-04-14,8,1
"Leicestershire",2020-04-14,13,3
"Lewisham",2020-04-14,3,0
"Lincolnshire",2020-04-14,28,6
"Liverpool",2020-04-14,20,8
"Luton",2020-04-14,3,2
"Manchester",2020-04-14,7,2
"Medway",2020-04-14,2,0
"Merton",2020-04-14,8,1
"Middlesbrough",2020-04-14,3,0
"Milton Keynes",2020-04-14,6,3
"Newcastle upon Tyne",2020-04-14,13,3
"Newham",2020-04-14,1,0
"Norfolk",2020-04-14,13,2
"North East Lincolnshire",2020-04-14,2,0
"North Lincolnshire",2020-04-14,4,1
"North Somerset",2020-04-14,6,0
"North Tyneside",2020-04-14,4,1
"North Yorkshire",2020-04-14,21,6
"Northamptonshire",2020-04-14,13,7
"Northumberland",2020-04-14,8,2
"Nottingham",2020-04-14,2,0
"Nottinghamshire",2020-04-14,13,5
"Oldham",2020-04-14,3,1
"Oxfordshire",2020-04-14,21,10
"Peterborough",2020-04-14,4,1
"Plymouth",2020-04-14,5,0
"Portsmouth",2020-04-14,2,1
"Reading",2020-04-14,0,0
"Redbridge",2020-04-14,4,2
"Redcar and Cleveland",2020-04-14,3,1
"Richmond upon Thames",2020-04-14,2,0
"Rochdale",2020-04-14,1,1
"Rotherham",2020-04-14,12,6
"Rutland",2020-04-14,0,0
"Salford",2020-04-14,4,3
"Sandwell",2020-04-14,3,1
"Sefton",2020-04-14,9,3
"Sheffield",2020-04-14,13,7
"Shropshire",2020-04-14,6,2
"Slough",2020-04-14,0,0
"Solihull",2020-04-14,4,2
"Somerset",2020-04-14,7,2
"South Gloucestershire",2020-04-14,5,2
"South Tyneside",2020-04-14,5,0
"Southampton",2020-04-14,2,0
"Southend-on-Sea",2020-04-14,2,1
"Southwark",2020-04-14,3,1
"St. Helens",2020-04-14,7,1
"Staffordshire",2020-04-14,21,10
